date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2023-01-20,162,6909,13095,14479,4949,0.0
2023-01-31,393,8265,14218,28933,8155,2232
2023-02-18,162,22894,34553,36637,10501,6
2023-03-05,192,2135,3345,7073,1710,6182
2023-03-19,324,35460,77037,51400,14642,26
2023-04-17,54,367,904,1099,552,83
2023-04-21,162,19018,32158,29181,8435,10
2023-05-06,160,16411,23217,22963,7554,3052
2023-08-05,337,1543,5961,8071,2865,282
2023-09-16,101,594,942,4659,921,1063
2023-10-15,122,1589,1199,3405,1272,17283
2023-11-13,64,417,802,1903,308,445
