date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2019-01-24,311,5590,16174,8664,959,200
2019-02-12,989,195,403,558,113,146805
2019-02-26,2514,24230,100685,28580,4719,1234
2019-03-13,1815,13910,20620,31797,13267,330138
2019-04-25,1976,40433,119241,60457,9364,192911
2019-05-28,792,3922,12254,9538,2853,74667
2019-06-12,3028,13262,37554,41719,14630,142130
2019-06-26,2974,7544,2979,5408,1109,981764
2019-07-15,458,518,2662,2317,818,8968
2019-08-26,596,2348,4211,5479,1357,113238
2019-09-11,1585,1858,16783,9759,3272,982
2019-09-24,4439,22629,18575,21012,3715,774930
2019-11-12,2781,28035,117153,35083,5940,3278
2019-12-11,405,876,3576,2740,977,476
2019-12-24,5882,109761,369987,140630,21491,9966
