date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count,total_photon_count,other_photons
2023-01-16,2168,0.0,152559,27339,16344,0.0,196242,0
2023-01-20,3894,0.0,123496,19494,11708,0.0,154698,0
2023-01-31,2173,0.0,89790,11618,4557,0.0,105965,0
2023-02-04,145,0.0,6503,607,346,0.0,7456,0
2023-02-18,5429,0.0,415165,62691,37601,0.0,515457,0
2023-03-05,455,0.0,25371,1581,55,0.0,27007,0
2023-03-19,6017,0.0,444864,49248,36454,0.0,530566,0
2023-04-17,111,0.0,1562,239,252,0.0,2053,0
2023-04-21,5428,0.0,395606,31006,21745,0.0,448357,0
2023-05-06,3767,0.0,266849,19120,3734,0.0,289703,0
2023-05-20,1048,0.0,29613,3519,1093,0.0,34225,0
2023-07-17,22,0.0,1208,0.0,0.0,0.0,1208,0
2023-08-05,2720,0.0,47930,6004,3633,0.0,57567,0
2023-09-16,165,0.0,4438,96,38,0.0,4572,0
2023-10-15,1327,0.0,87978,7207,2118,0.0,97303,0
2023-11-04,82,0.0,2578,343,218,0.0,3139,0
2023-11-13,308,0.0,7376,143,294,0.0,7813,0
