date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2023-01-16,435,51617,94589,80342.0,21315.0,0.0
2023-01-20,1082,29242,79435,63992.0,16410.0,2045.0
2023-01-31,555,15066,41132,52977.0,13900.0,0.0
2023-02-04,45,887,2907,3672.0,1138.0,105.0
2023-02-18,1123,129431,265078,200934.0,50133.0,325.0
2023-03-05,126,3374,20060,6824.0,550.0,42.0
2023-03-19,1206,128694,301262,181011.0,48340.0,0.0
2023-04-17,104,397,969,1248.0,590.0,690.0
2023-04-21,1089,106532,279332,140745.0,28280.0,0.0
2023-05-06,868,72019,199781,81888.0,9246.0,0.0
2023-05-20,314,2231,20432,14253.0,1629.0,0.0
2023-07-17,7,26,1242,0.0,0.0,1.0
2023-08-05,853,3587,30155,25966.0,7537.0,17.0
2023-09-16,93,390,3930,1349.0,226.0,20.0
2023-10-15,336,14351,59714,33386.0,5769.0,0.0
2023-11-04,90,316,2110,859.0,312.0,2181.0
2023-11-13,90,191,2388,4238.0,1700.0,0.0
